2019-11-18 14:10:59.818 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:10:59.825 [main] DEBUG a01166101.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2019-11-18 14:11:00.997 [main] DEBUG a01166101.db.Database - Database connected
2019-11-18 14:11:01.471 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Customers
2019-11-18 14:11:01.485 [main] DEBUG a01166101.data.customer.CustomerDao - SELECT id FROM A01166101_Customers
2019-11-18 14:11:01.498 [main] DEBUG a01166101.data.customer.CustomerDao - Loaded 98 customer IDs from the database
2019-11-18 14:11:01.499 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.565 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Books
2019-11-18 14:11:01.571 [main] DEBUG a01166101.data.book.BookDao - SELECT id FROM A01166101_Books
2019-11-18 14:11:01.587 [main] DEBUG a01166101.data.book.BookDao - Loaded 499 book IDs from the database
2019-11-18 14:11:01.590 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.653 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Purchases
2019-11-18 14:11:20.242 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7498
2019-11-18 14:11:20.253 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7516
2019-11-18 14:11:20.262 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7525
2019-11-18 14:11:20.270 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7658
2019-11-18 14:11:20.277 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7799
2019-11-18 14:11:20.285 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7849
2019-11-18 14:11:20.293 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7975
2019-11-18 14:11:20.303 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8000
2019-11-18 14:11:20.314 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8040
2019-11-18 14:11:20.324 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8186
2019-11-18 14:11:20.336 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8193
2019-11-18 14:11:20.350 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8261
2019-11-18 14:11:20.359 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8376
2019-11-18 14:11:20.455 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8479
2019-11-18 14:11:20.478 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8626
2019-11-18 14:11:20.488 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 8964
2019-11-18 14:11:20.498 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9136
